(61, 57, 363, 265) (65, 54, 293, 268) 55354
(22, 22, 310, 235) (23, 27, 238, 231) 9951

( 0,  1,  6) -> ( 0,  9,  6)
(19, 23, 395, 346) (21, 21, 325, 352) 7942
(35, 16, 95, 335) (39, 55, 450, 278) 32530
(21, 15, 88, 335) (32, 18, 305, 290) 23913
(21, 18, 548, 293) (49, 53, 305, 270) 57075
(14, 25, 542, 288) (30, 27, 456, 294) 11544
(61, 33, 363, 285) (30, 26, 324, 290) 40541
(16, 24, 556, 274) (22, 23, 450, 310) 6561
(30, 44, 542, 274) (14, 21, 475, 278) 14681
(21, 24, 394, 265) (21, 14, 95, 333) 21716
(22, 22, 310, 235) (24, 26, 234, 233) 8386

( 0,  1,  6) -> ( 0, 10,  6)
(19, 23, 395, 346) (21, 26, 310, 349) 9793
(35, 16, 95, 335) (21, 15, 73, 330) 23675
(21, 15, 88, 335) (22, 28, 431, 297) 11202
(21, 18, 548, 293) (39, 64, 431, 268) 29298
(14, 25, 542, 288) (18, 19, 222, 390) 18268
(16, 24, 556, 274) (27, 49, 443, 268) 16234
(21, 24, 394, 265) (22, 23, 309, 268) 10056
(22, 22, 310, 235) (24, 26, 218, 231) 8230

( 0,  1,  6) -> ( 0, 11,  6)
(61, 33, 363, 285) (18, 18, 195, 390) 40708
(19, 23, 395, 346) (21, 24, 287, 351) 10818
(21, 15, 88, 335) (22, 14, 38, 329) 15741
(53, 16, 88, 335) (19, 17, 405, 315) 18308
(21, 18, 548, 293) (19, 25, 405, 315) 7732
(16, 24, 556, 274) (14, 24, 422, 298) 6044
(35, 16, 95, 335) (14, 19, 413, 291) 10717
(14, 25, 542, 288) (16, 32, 429, 277) 9856
(30, 44, 542, 274) (13, 23, 420, 276) 12463
(21, 24, 394, 265) (24, 26, 285, 265) 11058
(61, 57, 363, 265) (67, 56, 249, 265) 63834
(22, 22, 310, 235) (24, 27, 194, 228) 7725

( 0,  2,  6) -> ( 0,  3,  6)
(19, 23, 384, 347) (60, 134, 43, 207) 214762
(34, 11, 170, 336) (35, 17, 41, 337) 13575
(21, 14, 202, 326) (62, 147, 41, 207) 228113
(55, 22, 168, 326) (33, 15, 61, 338) 23436
(25, 13, 523, 312) (20, 15, 185, 329) 12598
(14, 25, 543, 290) (28, 41, 519, 271) 10968
(60, 32, 352, 287) (62, 35, 341, 288) 28563
(24, 34, 182, 278) (19, 24, 375, 349) 19792
(16, 21, 530, 274) (18, 27, 519, 275) 5868
(26, 55, 522, 274) (16, 23, 531, 271) 18124
(21, 27, 383, 263) (21, 26, 372, 265) 3477
(60, 56, 352, 263) (62, 58, 341, 265) 37422
(21, 23, 299, 234) (21, 24, 288, 234) 9127

( 0,  2,  6) -> ( 0,  4,  6)
(19, 23, 384, 347) (61, 140, 25, 199) 218180
(34, 11, 170, 336) (41, 17, 29, 336) 11155
(21, 14, 202, 326) (61, 157, 25, 196) 257120
(55, 22, 168, 326) (19, 14, 171, 328) 30533
(25, 13, 523, 312) (28, 19, 39, 196) 27059
(14, 25, 543, 290) (20, 35, 517, 278) 8058
(60, 32, 352, 287) (62, 31, 331, 288) 33037
(24, 34, 182, 278) (18, 24, 366, 348) 24526
(16, 21, 530, 274) (14, 25, 523, 278) 7126
(26, 55, 522, 274) (22, 16, 499, 308) 16483
(21, 27, 383, 263) (20, 26, 364, 264) 10457
(60, 56, 352, 263) (62, 55, 331, 264) 38611
(21, 23, 299, 234) (20, 21, 279, 236) 7595

( 0,  2,  6) -> ( 0,  5,  6)
(19, 23, 384, 347) (19, 22, 355, 349) 7703
(34, 11, 170, 336) (16, 17, 497, 275) 7650
(21, 14, 202, 326) (29, 22, 11, 319) 21734
(55, 22, 168, 326) (22, 14, 11, 338) 22639
(25, 13, 523, 312) (21, 35, 504, 282) 14336
(14, 25, 543, 290) (38, 55, 487, 272) 24466
(60, 32, 352, 287) (62, 34, 320, 289) 23704
(24, 34, 182, 278) (19, 14, 151, 330) 18895
(16, 21, 530, 274) (52, 35, 4, 317) 38464
(26, 55, 522, 274) (22, 20, 487, 307) 19432
(21, 27, 383, 263) (22, 24, 352, 268) 7009
(60, 56, 352, 263) (62, 55, 320, 268) 43636
(21, 23, 299, 234) (24, 22, 265, 237) 8512

( 0,  2,  6) -> ( 0,  6,  6)
(19, 23, 384, 347) (17, 22, 258, 387) 7345
(24, 34, 182, 278) (21, 20, 342, 349) 21331
(55, 22, 168, 326) (20, 15, 9, 339) 22475
(21, 14, 202, 326) (21, 14, 134, 330) 6721
(26, 55, 522, 274) (19, 19, 474, 308) 18455
(34, 11, 170, 336) (26, 18, 480, 298) 10666
(14, 25, 543, 290) (19, 18, 490, 289) 5979
(60, 32, 352, 287) (63, 33, 308, 289) 28470
(16, 21, 530, 274) (16, 23, 483, 278) 5905
(25, 13, 523, 312) (15, 21, 496, 276) 5626
(21, 27, 383, 263) (22, 27, 342, 265) 9273
(60, 56, 352, 263) (63, 57, 308, 265) 40378
(21, 23, 299, 234) (23, 26, 254, 233) 7858

( 0,  2,  6) -> ( 0,  7,  6)
(19, 23, 384, 347) (28, 174, 0, 168) 167484
(34, 11, 170, 336) (20, 25, 340, 351) 23519
(21, 14, 202, 326) (20, 15, 124, 332) 8910
(25, 13, 523, 312) (36, 54, 471, 277) 23500
(14, 25, 543, 290) (16, 22, 481, 296) 6546
(60, 32, 352, 287) (65, 33, 305, 291) 34584
(24, 34, 182, 278) (21, 23, 253, 386) 24936
(16, 21, 530, 274) (23, 28, 4, 145) 33967
(26, 55, 522, 274) (22, 20, 471, 311) 22544
(21, 27, 383, 263) (23, 27, 339, 267) 7163
(60, 56, 352, 263) (65, 57, 305, 267) 51152
(21, 23, 299, 234) (21, 26, 252, 234) 9418

( 0,  2,  6) -> ( 0,  8,  6)
(19, 23, 384, 347) (20, 25, 328, 349) 6448
(34, 11, 170, 336) (20, 14, 107, 330) 20036
(21, 14, 202, 326) (7, 77, 0, 241) 49071
(25, 13, 523, 312) (22, 22, 455, 307) 9006
(14, 25, 543, 290) (21, 30, 464, 290) 9805
(60, 32, 352, 287) (65, 33, 293, 289) 36196
(24, 34, 182, 278) (17, 25, 477, 277) 16463
(16, 21, 530, 274) (39, 52, 455, 277) 22598
(21, 27, 383, 263) (23, 27, 238, 231) 8760
(60, 56, 352, 263) (65, 54, 293, 268) 72230
(21, 23, 299, 234) (23, 24, 327, 268) 8332

( 0,  2,  6) -> ( 0,  9,  6)
(19, 23, 384, 347) (21, 21, 325, 352) 7732
(34, 11, 170, 336) (32, 18, 305, 290) 24352
(21, 14, 202, 326) (21, 14, 95, 333) 7860
(25, 13, 523, 312) (39, 55, 450, 278) 22391
(14, 25, 543, 290) (49, 53, 305, 270) 56132
(60, 32, 352, 287) (30, 26, 324, 290) 34891
(24, 34, 182, 278) (22, 23, 450, 310) 17083
(16, 21, 530, 274) (30, 27, 456, 294) 10190
(21, 27, 383, 263) (24, 26, 234, 233) 8447
(21, 23, 299, 234) (14, 21, 475, 278) 15400

( 0,  2,  6) -> ( 0, 10,  6)
(19, 23, 384, 347) (21, 26, 310, 349) 7698
(34, 11, 170, 336) (18, 19, 222, 390) 23191
(21, 14, 202, 326) (21, 15, 73, 330) 7140
(25, 13, 523, 312) (39, 64, 431, 268) 27760
(14, 25, 543, 290) (27, 49, 443, 268) 15117
(16, 21, 530, 274) (22, 28, 431, 297) 12813
(21, 27, 383, 263) (24, 26, 218, 231) 9348
(21, 23, 299, 234) (22, 23, 309, 268) 8363

( 0,  2,  6) -> ( 0, 11,  6)
(34, 11, 170, 336) (18, 18, 195, 390) 20385
(19, 23, 384, 347) (21, 24, 287, 351) 8414
(21, 14, 202, 326) (22, 14, 38, 329) 8937
(25, 13, 523, 312) (19, 17, 405, 315) 6437
