(62, 54, 372, 264) (74, 73, 380, 263) 71131
(22, 26, 320, 231) (25, 30, 318, 225) 9082

( 1,  0,  6) -> ( 8,  0,  6)
(17, 72, 11, 184) (18, 21, 321, 418) 44267
(18, 26, 406, 346) (23, 35, 422, 366) 11620
(18, 15, 233, 326) (26, 18, 200, 351) 8175
(62, 54, 372, 264) (21, 13, 348, 333) 72511
(27, 24, 558, 270) (18, 15, 622, 304) 11681
(62, 31, 372, 287) (75, 41, 382, 293) 30097
(25, 26, 404, 264) (27, 31, 420, 265) 14574
(22, 26, 320, 231) (26, 31, 316, 225) 8522

( 1,  0,  6) -> ( 9,  0,  6)
(17, 72, 11, 184) (23, 33, 430, 372) 53199
(18, 15, 233, 326) (27, 18, 198, 358) 7537
(27, 24, 558, 270) (17, 22, 168, 346) 13405
(18, 26, 406, 346) (20, 15, 171, 336) 14060
(62, 31, 372, 287) (78, 41, 387, 295) 36948
(25, 26, 404, 264) (30, 31, 427, 267) 13178
(62, 54, 372, 264) (78, 69, 387, 267) 40427
(22, 26, 320, 231) (28, 33, 319, 224) 12019

( 2,  0,  6) -> ( 3,  0,  6)
(19, 23, 408, 351) (20, 27, 406, 350) 8093
(19, 16, 231, 329) (16, 16, 581, 299) 13125
(21, 16, 229, 329) (21, 14, 221, 332) 5571
(64, 32, 373, 288) (67, 35, 368, 287) 35866
(18, 33, 577, 280) (29, 20, 561, 305) 17352
(18, 29, 566, 276) (40, 59, 560, 269) 26706
(33, 47, 563, 276) (22, 33, 578, 269) 19701
(23, 26, 406, 265) (26, 24, 403, 267) 7520
(64, 55, 373, 265) (67, 55, 368, 267) 55143
(23, 25, 319, 232) (23, 27, 314, 229) 7046

( 2,  0,  6) -> ( 4,  0,  6)
(19, 23, 408, 351) (21, 24, 409, 352) 10654
(18, 29, 566, 276) (25, 18, 103, 347) 10166
(21, 16, 229, 329) (22, 16, 219, 334) 7342
(18, 33, 577, 280) (12, 23, 599, 293) 8840
(64, 32, 373, 288) (69, 35, 372, 287) 35209
(19, 16, 231, 329) (17, 25, 587, 286) 16259
(30, 11, 345, 318) (18, 17, 579, 281) 17803
(33, 47, 563, 276) (18, 25, 595, 272) 20192
(23, 26, 406, 265) (23, 23, 408, 268) 11941
(64, 55, 373, 265) (69, 54, 372, 268) 73790
(23, 25, 319, 232) (22, 28, 317, 227) 7282

( 2,  0,  6) -> ( 5,  0,  6)
(19, 23, 408, 351) (21, 24, 414, 355) 7250
(21, 16, 229, 329) (22, 16, 216, 337) 7334
(30, 11, 345, 318) (20, 13, 344, 321) 10314
(18, 33, 577, 280) (21, 14, 581, 316) 11263
(18, 29, 566, 276) (14, 20, 593, 309) 9424
(19, 16, 231, 329) (17, 18, 605, 287) 13035
(64, 32, 373, 288) (71, 35, 374, 287) 40780
(33, 47, 563, 276) (19, 19, 589, 277) 17917
(23, 26, 406, 265) (24, 29, 411, 262) 8234
(64, 55, 373, 265) (71, 60, 374, 262) 36425
(23, 25, 319, 232) (24, 28, 317, 226) 10845

( 2,  0,  6) -> ( 6,  0,  6)
(19, 23, 408, 351) (21, 23, 417, 360) 8306
(18, 29, 566, 276) (17, 18, 38, 356) 9101
(19, 16, 231, 329) (23, 17, 212, 341) 5612
(21, 16, 229, 329) (14, 30, 187, 327) 12422
(30, 11, 345, 318) (34, 16, 347, 322) 11789
(64, 32, 373, 288) (72, 36, 378, 289) 34599
(33, 47, 563, 276) (20, 24, 617, 274) 16921
(18, 33, 577, 280) (15, 19, 617, 267) 8768
(23, 26, 406, 265) (28, 30, 414, 262) 10666
(64, 55, 373, 265) (72, 64, 378, 261) 36497
(23, 25, 319, 232) (24, 29, 317, 225) 6156

( 2,  0,  6) -> ( 7,  0,  6)
(19, 23, 408, 351) (22, 28, 422, 364) 10662
(18, 33, 577, 280) (20, 22, 37, 363) 14398
(19, 16, 231, 329) (24, 18, 208, 346) 8558
(30, 11, 345, 318) (21, 14, 349, 328) 10789
(21, 16, 229, 329) (18, 19, 179, 310) 10218
(18, 29, 566, 276) (21, 23, 610, 295) 11225
(64, 32, 373, 288) (74, 39, 380, 290) 27891
(33, 47, 563, 276) (22, 15, 610, 288) 21050
(23, 26, 406, 265) (25, 31, 419, 263) 8154
(64, 55, 373, 265) (74, 73, 380, 263) 78627
(23, 25, 319, 232) (25, 30, 318, 225) 9661

( 2,  0,  6) -> ( 8,  0,  6)
(30, 11, 345, 318) (18, 21, 321, 418) 12857
(19, 16, 231, 329) (20, 28, 321, 413) 17413
(19, 23, 408, 351) (23, 35, 422, 366) 9937
(21, 16, 229, 329) (26, 18, 200, 351) 8084
(18, 33, 577, 280) (36, 23, 157, 348) 19798
(64, 55, 373, 265) (21, 13, 348, 333) 78080
(33, 47, 563, 276) (28, 24, 612, 318) 24015
(18, 29, 566, 276) (18, 15, 622, 304) 11788
(64, 32, 373, 288) (75, 41, 382, 293) 41781
(23, 26, 406, 265) (27, 31, 420, 265) 6057
(23, 25, 319, 232) (26, 31, 316, 225) 12111

( 2,  0,  6) -> ( 9,  0,  6)
(18, 33, 577, 280) (16, 17, 0, 380) 10964
(19, 23, 408, 351) (23, 33, 430, 372) 9839
(21, 16, 229, 329) (27, 18, 198, 358) 6924
(19, 16, 231, 329) (20, 15, 171, 336) 10016
(18, 29, 566, 276) (16, 16, 196, 319) 11747
(30, 11, 345, 318) (20, 13, 168, 307) 12248
(64, 32, 373, 288) (78, 41, 387, 295) 36042
(33, 47, 563, 276) (18, 17, 169, 295) 23721
(23, 26, 406, 265) (30, 31, 427, 267) 7868
(64, 55, 373, 265) (78, 69, 387, 267) 52335
(23, 25, 319, 232) (28, 33, 319, 224) 9849

( 3,  0,  6) -> ( 4,  0,  6)
(20, 27, 406, 350) (21, 24, 409, 352) 15376
(21, 14, 221, 332) (22, 16, 219, 334) 5383
(22, 33, 578, 269) (12, 23, 599, 293) 5360
(67, 35, 368, 287) (69, 35, 372, 287) 18343
(40, 59, 560, 269) (17, 25, 587, 286) 23728
(29, 20, 561, 305) (18, 17, 579, 281) 9495
(16, 16, 581, 299) (18, 25, 595, 272) 5792
(26, 24, 403, 267) (23, 23, 408, 268) 13624
(67, 55, 368, 267) (69, 54, 372, 268) 53591
(23, 27, 314, 229) (22, 28, 317, 227) 5546

( 3,  0,  6) -> ( 5,  0,  6)
(20, 27, 406, 350) (21, 24, 414, 355) 10241
(21, 14, 221, 332) (22, 16, 216, 337) 6598
(29, 20, 561, 305) (14, 20, 593, 309) 6421
(16, 16, 581, 299) (17, 18, 605, 287) 4722
(67, 35, 368, 287) (71, 35, 374, 287) 23713
(22, 33, 578, 269) (23, 27, 601, 268) 9016
(40, 59, 560, 269) (43, 62, 581, 268) 22704
(26, 24, 403, 267) (24, 29, 411, 262) 10826
(67, 55, 368, 267) (71, 60, 374, 262) 41800
(23, 27, 314, 229) (24, 28, 317, 226) 7425

( 3,  0,  6) -> ( 6,  0,  6)
(20, 27, 406, 350) (21, 23, 417, 360) 12941
(21, 14, 221, 332) (23, 17, 212, 341) 5946
(16, 16, 581, 299) (18, 15, 600, 296) 7118
(40, 59, 560, 269) (22, 34, 613, 291) 26130
(67, 35, 368, 287) (72, 36, 378, 289) 31209
(29, 20, 561, 305) (19, 26, 601, 277) 8681
(22, 33, 578, 269) (15, 19, 617, 267) 8664
(26, 24, 403, 267) (28, 30, 414, 262) 9436
(67, 55, 368, 267) (72, 64, 378, 261) 66371
(23, 27, 314, 229) (24, 29, 317, 225) 6100

( 3,  0,  6) -> ( 7,  0,  6)
(20, 27, 406, 350) (22, 28, 422, 364) 9035
(40, 59, 560, 269) (20, 22, 37, 363) 35216
(21, 14, 221, 332) (24, 18, 208, 346) 6137
(22, 33, 578, 269) (18, 19, 179, 310) 13527
(16, 16, 581, 299) (21, 23, 610, 295) 7712
(67, 35, 368, 287) (74, 39, 380, 290) 34385
(29, 20, 561, 305) (22, 15, 610, 288) 7481
(26, 24, 403, 267) (25, 31, 419, 263) 11772
(67, 55, 368, 267) (74, 73, 380, 263) 78280
(23, 27, 314, 229) (25, 30, 318, 225) 5336

( 3,  0,  6) -> ( 8,  0,  6)
(16, 16, 581, 299) (18, 21, 321, 418) 16747
(20, 27, 406, 350) (23, 35, 422, 366) 13698
(21, 14, 221, 332) (26, 18, 200, 351) 7027
(22, 33, 578, 269) (36, 23, 157, 348) 23710
(67, 55, 368, 267) (21, 13, 348, 333) 71288
(29, 20, 561, 305) (28, 24, 612, 318) 10783
(40, 59, 560, 269) (18, 15, 622, 304) 36495
(67, 35, 368, 287) (75, 41, 382, 293) 31106
(26, 24, 403, 267) (27, 31, 420, 265) 9347
(23, 27, 314, 229) (26, 31, 316, 225) 7812

( 3,  0,  6) -> ( 9,  0,  6)
(40, 59, 560, 269) (16, 17, 0, 380) 34885
(20, 27, 406, 350) (23, 33, 430, 372) 10725
(21, 14, 221, 332) (27, 18, 198, 358) 6045
(29, 20, 561, 305) (17, 22, 168, 346) 11694
(22, 33, 578, 269) (16, 16, 196, 319) 12406
(67, 35, 368, 287) (78, 41, 387, 295) 36186
(16, 16, 581, 299) (18, 17, 169, 295) 9025
(26, 24, 403, 267) (30, 31, 427, 267) 8977
(67, 55, 368, 267) (78, 69, 387, 267) 45749
(23, 27, 314, 229) (28, 33, 319, 224) 7205

( 4,  0,  6) -> ( 5,  0,  6)
(21, 24, 409, 352) (21, 24, 414, 355) 13593
(25, 18, 103, 347) (37, 15, 83, 351) 6504
(32, 18, 98, 347) (25, 17, 56, 350) 7651
(22, 16, 219, 334) (20, 13, 344, 321) 7889
(28, 20, 569, 316) (21, 14, 581, 316) 8777
(38, 44, 575, 272) (14, 20, 593, 309) 17431
(17, 25, 587, 286) (13, 26, 600, 294) 5598
(18, 25, 595, 272) (17, 18, 605, 287) 4451
(69, 35, 372, 287) (71, 35, 374, 287) 19571
(18, 17, 579, 281) (19, 19, 589, 277) 4248
(12, 23, 599, 293) (23, 27, 601, 268) 7305
(23, 23, 408, 268) (24, 29, 411, 262) 11211
(69, 54, 372, 268) (71, 60, 374, 262) 61138
(22, 28, 317, 227) (24, 28, 317, 226) 8853

( 4,  0,  6) -> ( 6,  0,  6)
(22, 16, 219, 334) (18, 22, 322, 401) 16383
(21, 24, 409, 352) (21, 23, 417, 360) 8447
(32, 18, 98, 347) (32, 19, 78, 358) 7235
(25, 18, 103, 347) (17, 18, 38, 356) 4583
(69, 54, 372, 268) (23, 17, 212, 341) 78610
(12, 23, 599, 293) (14, 30, 187, 327) 8572
(18, 25, 595, 272) (18, 17, 593, 314) 8168
(28, 20, 569, 316) (18, 15, 600, 296) 8858
(69, 35, 372, 287) (72, 36, 378, 289) 31691
(17, 25, 587, 286) (19, 26, 601, 277) 7700
(38, 44, 575, 272) (20, 24, 617, 274) 19329
(18, 17, 579, 281) (15, 19, 617, 267) 5710
(23, 23, 408, 268) (28, 30, 414, 262) 17342
(22, 28, 317, 227) (24, 29, 317, 225) 8285

( 4,  0,  6) -> ( 7,  0,  6)
(21, 24, 409, 352) (22, 28, 422, 364) 15904
(25, 18, 103, 347) (20, 22, 37, 363) 4041
(32, 18, 98, 347) (34, 27, 349, 315) 35803
(22, 16, 219, 334) (24, 18, 208, 346) 4900
(28, 20, 569, 316) (21, 23, 610, 295) 9942
(12, 23, 599, 293) (22, 19, 179, 310) 8576
(69, 35, 372, 287) (74, 39, 380, 290) 29587
(17, 25, 587, 286) (18, 19, 179, 310) 10987
(18, 17, 579, 281) (21, 14, 349, 328) 14281
(18, 25, 595, 272) (28, 20, 602, 315) 10973
(38, 44, 575, 272) (22, 15, 610, 288) 19288
(23, 23, 408, 268) (25, 31, 419, 263) 13296
(69, 54, 372, 268) (74, 73, 380, 263) 74953
(22, 28, 317, 227) (25, 30, 318, 225) 8151

( 4,  0,  6) -> ( 8,  0,  6)
(17, 25, 587, 286) (18, 21, 321, 418) 20559
(18, 25, 595, 272) (20, 28, 321, 413) 25778
(21, 24, 409, 352) (23, 35, 422, 366) 13065
(22, 16, 219, 334) (26, 18, 200, 351) 7908
(18, 17, 579, 281) (36, 23, 157, 348) 12990
(32, 18, 98, 347) (21, 13, 348, 333) 23177
(38, 44, 575, 272) (28, 24, 612, 318) 21051
(25, 18, 103, 347) (33, 29, 348, 317) 36702
(28, 20, 569, 316) (18, 15, 622, 304) 7986
(69, 35, 372, 287) (75, 41, 382, 293) 30938
(12, 23, 599, 293) (53, 68, 151, 287) 38284
(23, 23, 408, 268) (27, 31, 420, 265) 15305
(69, 54, 372, 268) (75, 74, 382, 265) 71769
(22, 28, 317, 227) (26, 31, 316, 225) 11109

( 4,  0,  6) -> ( 9,  0,  6)
(32, 18, 98, 347) (16, 17, 0, 380) 5568
(21, 24, 409, 352) (23, 33, 430, 372) 13821
(22, 16, 219, 334) (27, 18, 198, 358) 6850
(17, 25, 587, 286) (17, 22, 168, 346) 10865
(38, 44, 575, 272) (20, 15, 171, 336) 24282
(25, 18, 103, 347) (35, 28, 353, 322) 35009
(28, 20, 569, 316) (16, 16, 196, 319) 9661
(18, 25, 595, 272) (23, 26, 172, 315) 17225
(18, 17, 579, 281) (20, 13, 168, 307) 8568
(69, 35, 372, 287) (78, 41, 387, 295) 34348
(12, 23, 599, 293) (18, 17, 169, 295) 7092
(23, 23, 408, 268) (30, 31, 427, 267) 18775
(69, 54, 372, 268) (78, 69, 387, 267) 83285
(22, 28, 317, 227) (28, 33, 319, 224) 10531

( 5,  0,  6) -> ( 6,  0,  6)
(20, 13, 344, 321) (18, 22, 322, 401) 12163
(25, 17, 56, 350) (48, 14, 49, 363) 6839
(21, 24, 414, 355) (21, 23, 417, 360) 11172
(37, 15, 83, 351) (32, 19, 78, 358) 8178
(67, 28, 53, 342) (17, 18, 38, 356) 17450
(22, 16, 216, 337) (23, 17, 212, 341) 4889
(14, 20, 593, 309) (14, 30, 187, 327) 9915
(21, 14, 581, 316) (18, 17, 593, 314) 4893
(17, 18, 605, 287) (18, 15, 600, 296) 5935
(43, 62, 581, 268) (22, 34, 613, 291) 29692
(71, 35, 374, 287) (72, 36, 378, 289) 38449
(19, 19, 589, 277) (19, 26, 601, 277) 4562
